[2025-11-22 09:08:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-21
正在获取论文...
[ACM] 2025-11-21 | Introduction to the Special Issue on Large Language Models for Recommender Systems
[NO] 254/1000 | Information Freshness in Dynamic Gossip Networks
[NO] 255/1000 | Challenges in pCO
                    <sub>2</sub>
                    Measurement: Lessons Learnt from the MINKE Project
[NO] 256/1000 | Evaluation of the propagation of oil spills in ports through Artificial Neural Networks
[NO] 257/1000 | Marine Obstacles Multi-Modal Detection, Classification and Tracking via Camera-LiDAR Late Fusion
[NO] 258/1000 | Typicality with Feedback
[NO] 259/1000 | Secure Pinching Antennas-Aided Wireless Communication System
[NO] 260/1000 | The Process of Ice Breaking Water of the Vehicle Fluid-Solid Coupling Dynamics Numerical Simulation
[NO] 261/1000 | Evaluating the efficiency of PacBio long-read technology to analyse the diet of alien blue crabs (Callinectes sapidus Rathbun, 1896)
[NO] 262/1000 | Comparative Security Performance Analysis of DSSS and FHSS in Underwater Acoustic Channels
[NO] 263/1000 | A Comprehensive Review of Malicious URL Detection using Deep Learning Techniques
[NO] 264/1000 | Example-Based Data Retrieval Using Pattern Analysis Methods
[NO] 265/1000 | A Hybrid Balancing Method for IDS Datasets Using CTGAN + K-Means
[NO] 266/1000 | BLOCKTAIL: A Large-Size and Efficiently Implemented Bit-Oriented Design for Block Ciphers and Permutations
[NO] 267/1000 | On Finite-Blocklength Noisy Classical-Quantum Channel Coding With Amplitude Damping Errors
[NO] 268/1000 | Wave Field Variability at Model Grid Scale: Results from a Moored Buoy Array Offshore Livorno
[NO] 269/1000 | Identification of Damaged Coastal Areas starting from newspaper articles in the Canary Islands
[NO] 270/1000 | Cascade PID Control Method for Inner and Outer Loops of Transverse Tilt Bi-Coptor UAV
[NO] 271/1000 | A Decoder with Reinforcement Learning Feedback
[NO] 272/1000 | Research on the Afterbody Integration of BDTN and Exploration of Drag Reduction Methods
[NO] 273/1000 | Dynamic Characteristic Analysis and Optimization Design for Spacecraft Electromechanical Composite Skin Panel Structures
[NO] 274/1000 | Navigating the LEO Network: A Routing Optimisation Approach
[NO] 275/1000 | The Role of Rank in Mismatched Low-Rank Symmetric Matrix Estimation
[NO] 276/1000 | Study on the Effect of Ice Pore Parameters on the Attenuation of Ultrasonic Echo Signals
[NO] 277/1000 | Poster: Power Out, Internet Down? Measuring Internet Resilience in South Africa
[YES] 278/1000 | Poster: Measuring Algorithmic Systems' Resilience Against Generative AI-Powered Attacks -- Case Study on Exploiting a Code Search Platform
[NO] 279/1000 | Poster: Voltadomar: A Traceroute Library for Anycasted IPs
[NO] 280/1000 | Enhancing Spatial-Temporal Prediction Models with Dynamic Causal Graphs
[NO] 281/1000 | Poster: Learning to Personalize in Federated Networks with Contribution-Aware Aggregation
[NO] 282/1000 | Demo: Task Cooperation for Urban Unmanned Sanitation Vehicles
[NO] 283/1000 | Demo: Split-and-Pipeline: Collaborative Large Model Inference on Edge Devices
[NO] 284/1000 | Cross-Technology Sensing: Leveraging LoRa Signals to Empower WiFi Sensing
[NO] 285/1000 | Making LoRa Sensing Coexist with Communication
[NO] 286/1000 | MetaGuardian: Enhancing Voice Assistant Security through Advanced Acoustic Metamaterials
[NO] 287/1000 | Transfer Learning for Cross-Domain Sentiment Classification via Domain Adaptation
[NO] 288/1000 | A Novel Indicator for Robust On-Line Inter-Turn Fault Detection in Induction Machines Considering Winding Connections, Voltage Unbalance and Load Variation
[NO] 289/1000 | FPGA Implementation of a Real-Time Parallel Loop-Unrolled DFE for PAM-4 IM/DD Optical Links
[NO] 290/1000 | Study on the Improving the Uniformity of Ti Distribution in New Type of High
                    <i>
                      J
                      <sub>c</sub>
                    </i>
                    Nb
                    <sub>3</sub>
                    Sn Wire Produced by WST
[NO] 291/1000 | 2025 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea)
[NO] 292/1000 | Intelligent Energy-Aware Routing via Protozoa Behavior in IoT-Enabled WSNs
[NO] 293/1000 | Graph-Reinforcement Learning for Service Restoration in Distribution Automation Systems
[NO] 294/1000 | Understanding Large Language Model Behaviors through Interactive Counterfactual Generation and Analysis
[NO] 295/1000 | Acoustic underwater noise: the segregation of frequency bands for science-to-policy advise
[NO] 296/1000 | Autonomous Ocean Sensor Platform
[NO] 297/1000 | The Italian Ocean Sound monitoring subsystem for the Italian Integrated Environmental Research Infrastructures System (ITINERIS) project
[NO] 298/1000 | A Dual Optimization View to Empirical Risk Minimization with f-Divergence Regularization
[NO] 299/1000 | A Review of Advances in the Application of Machine Learning Methods for Intelligent Detection of Composite Materials
[NO] 300/1000 | Multi-Base Station Coordination for Semi-Persistent Scheduling in Industrial 5G Wireless Time-Sensitive Networks
[NO] 301/1000 | Effect of Mainstream Pulsation on Transient Cooling Behaviors for Elliptical Crater Film-Holes with Compound Angles
[NO] 302/1000 | Efficient Stick-Slip Friction Modeling for the Sliding Cable Systems Integrating ALE Formulation and Lugre Model
[NO] 303/1000 | A Method for Autonomous Online Trajectory Planning of Launch Vehicles and Its Application
[NO] 304/1000 | Diagnosing and addressing spatio-temporal autocorrelation in marine megafauna habitat models in the Mediterranean Sea
[NO] 305/1000 | SAR Speckle Distribution Under High Wind Regimes
[NO] 306/1000 | Breakdown of polycyclic aromatic hydrocarbons in different size fractions of marine sediments
[NO] 307/1000 | Speckle-Based Approach for Detecting Lakes in X-Band COSMO-SkyMed Data
[NO] 308/1000 | The Second-Order Coding Rate of Identification via Simple-Dispersion DMCs with Feedback
[NO] 309/1000 | Generalized Theta Series of a Lattice
[NO] 310/1000 | Study on the Prediction Model of Flight Test Mission Duration Based on Risk Factors
[NO] 311/1000 | New Construction of Matrix Representation of Finite Fields and Its Application to Linear Codes
[NO] 312/1000 | An Investigation on Packet Sampling between Kernel and User Space for NIDS
[NO] 313/1000 | Demo: Hijacking Joystick with Mobile Magnetic Injection
[YES] 314/1000 | Protocol Compliance in Popular RTC Applications
[NO] 315/1000 | A Permissions Odyssey: A Systematic Study of Browser Permissions on Modern Websites
[NO] 316/1000 | Poster: Investigating the Survivability of the Experimental TCP Option
[NO] 317/1000 | SAAC: Soft-Attention-Actor-Critic Framework for Deployment and Beamforming of Aerial Intelligent Reflecting Surfaces
[NO] 318/1000 | X-ResQ: Parallel Reverse Annealing for Quantum Maximum-Likelihood MIMO Detection with Flexible Parallelism
[NO] 319/1000 | Scalable and Low Power Localization for Underwater Robots
[NO] 320/1000 | BoRa: LoRa over BLE
[NO] 321/1000 | Poster: Enabling BLE Direction Finding Feature Compatible with All Bluetooth Devices
[NO] 322/1000 | Ex-vivo Prostate Evaluation of Fused-data TREIT using only Biopsy-probe electrodes_supp1-3634989.pdf
[NO] 323/1000 | IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems society information
[NO] 324/1000 | Table of Contents
[NO] 325/1000 | TiVy: Time Series Visual Summary for Scalable Visualization
[NO] 326/1000 | Multi-Modal Broadcast Packet Erasure Channels: Capacity with Non-Stationary Controllable Statistics
[NO] 327/1000 | An Efficient GPU-Based Halpern Accelerating Algorithm for Large-Scale DC Optimal Power Flow
[NO] 328/1000 | Enhancing GNSS RTK Positioning Performance in Challenging Urban Environments with Prior Road Surface Map
[NO] 329/1000 | Physics-Informed Neural Network-based Indoor Non-Line-of-Sight Optical Wireless Communication
[NO] 330/1000 | Large Language Models (LLMs) for Network Traffic Prediction: A Trend-Aware Hybrid Framework
[NO] 331/1000 | Research on Design and Transition Performance Evaluation of High-Precision Large-Size Laminar Flow Nozzle in Wind Tunnel
[NO] 332/1000 | A Blockchain-based Architecture For Secure ECG Monitoring Using Constrained IoT Devices
[NO] 333/1000 | Two-Phase Method for Optimal Mobile Sensor Path Planning To Monitor Coverage Holes in Wireless Sensor Networks
[NO] 334/1000 | Multimodal Fusion of Behavior Graphs and API Sequences for Ransomware Detection
[NO] 335/1000 | Analysis and Simulation of a Ducted-Fan Aerial Platform with Aerodynamic Constraints
[NO] 336/1000 | Global and Efficient Local Optimization for Movable Antenna Enabled ISAC
[NO] 337/1000 | AI-Driven Routing in Mega-LEO Constellations: An Enhanced Q-Learning Strategy for Dynamic Topology Adaptation
[NO] 338/1000 | COPS: Collaborative Observability and Privacy-preserving Security in ICS
[NO] 339/1000 | Threshold-Based Entity Authentication for PKCS#11: A Cryptographic Protocol Using Shamir’s Secret Sharing
[NO] 340/1000 | Three-Dimensional Path Planning for UAVs Based on Lemur Multi-Objective Optimization and the Optimal Velocity Obstacle Method
[NO] 341/1000 | Districts-to-Zone-to-City To Building-to-Neighborhood-to-Cities: Big Data Driven Architecture Enabling a Five-Category Centric Framework for Smart, Sustainable, Scalable and Reliable IoT City Services
[NO] 342/1000 | Monitoring the Seasonal Behavior and Morphological Changes of the Hunga Iceberg Using Sentinel-1 SAR data
[NO] 343/1000 | Characterization of Deletion/Substitution Channel Capacity for Small Deletion and Substitution Probabilities
[NO] 344/1000 | Cross-Scale Damage Mechanism Analysis of T800 Carbon Fiber Composites Under Hygrothermal Aging
[NO] 345/1000 | Identity management for frameworks managing northbound APIs of future networks
[NO] 346/1000 | Research on Low Altitude Wind Field Characteristics in Urban Residential Areas Based on Numerical Simulation
[NO] 347/1000 | Dynamical Linear Reward Systems under Competitive Horizon Criteria
[NO] 348/1000 | Adaptive Bionic Cable-Driven Manipulator for Space Grasping Tasks
[NO] 349/1000 | Efficient Machine Unlearning by Model Splitting and Core Sample Selection
[NO] 350/1000 | Design of MEMS Flow Sensors and Their Application Progress in the Aerospace Field
[NO] 351/1000 | A Framework-Driven Mapping of ADS-B Vulnerabilities to NIST RMF and AI RMF
[NO] 352/1000 | Rethinking Convolutional Neural Network in Multimodal Sequential Recommendation
[NO] 353/1000 | NeVo: Advancing Volumetric Video Streaming with Neural Content Representation
[NO] 354/1000 | Poster: mmWave CSI-based Sensing: a Feasibility Study
[NO] 355/1000 | ESPIRO: Natural Pulmonary Function Monitoring via Earphone-Acquired Speech
[NO] 356/1000 | Sensing accuracy enhancement of phase-sensitive optical frequency domain reflectometry using hybrid Hampel-Median filter
[NO] 357/1000 | Dual-Input Single-Output Voltage Multiplier-Based High Step-Up Converter for Renewable Energy Integration in DC Microgrids
[NO] 358/1000 | LRCDA: A Lightweight and Reusable Cross-Domain Authentication Scheme for Industrial IoT Based on Distributed Architecture
[NO] 359/1000 | FungAI - A Clinically-Oriented Two-Stage Artificial Intelligence Framework for Microscopic Fungal Species Identification
[NO] 360/1000 | Enhanced Control of Single-Stage PV-STATCOM Using Hybrid MPPT and Adaptive AHLMS for Power Quality Improvement
[NO] 361/1000 | Detection Scheme of Multiple Submodule Open-Circuit Faults for Rectifier MMCs in HVDC System: A Simulation-Based Investigation
[NO] 362/1000 | IrregFusion: A Generalized Framework for Hyperspectral Image Fusion across Diverse Spectral Data
[NO] 363/1000 | LiDAR Inertial Odometry for Vehicle Positioning Based on Multimodal Attention Fusion Network
[NO] 364/1000 | Single-Ended 3T Sense Amplifiers for Amorphous Oxide Semiconductor 2T0C DRAM
[NO] 365/1000 | ITW 2025 Sponsors
[NO] 366/1000 | Poster: LightWalk: Passive Gait Recognition via Reflected VLC Signals
[NO] 367/1000 | Toward Better Efficiency vs. Fidelity Tradeoffs in Web Archives
[NO] 368/1000 | The Bandit Channel
[NO] 369/1000 | Comparison between shorelines derived from radar and multispectral satellite data
[NO] 370/1000 | Artificial habitats for seahorse conservation in the Mar Piccolo (Taranto, Italy): results from 15 months of monitoring
[NO] 371/1000 | Simulation Study on Microwave Curing Process of Carbon Fiber Reinforced Composite T-Shaped Structures Based on Strong Multi-Physics Coupling
[NO] 372/1000 | On the Interference Channel with Entangled Transmitters
[NO] 373/1000 | Clustering-Based Data Reduction for Significant Wave Height Modeling in the Mediterranean Sea: A Multi-Site Analysis
[NO] 374/1000 | Half Spatially Coupled Turbo-Like Codes
[NO] 375/1000 | Research on Trailing Cone Calibration Flight Test Technology
[NO] 376/1000 | Stacked MBN: Stacked Multi-Branch Network for Human Pose Estimation
[NO] 377/1000 | Analysis of Dynamic Characteristics of Floating Gas Valves
[NO] 378/1000 | Uirapuru: Timely Video Analytics for High-Resolution Steerable Cameras on Edge Devices
[NO] 379/1000 | Demo: Frequency-Selective Microwave Actuation of Liquid Crystalline Elastomer Soft Robots
[NO] 380/1000 | Poster: Diffusion-Driven Stackelberg Games for Semantic Information Trading in Metaverse Systems
[NO] 381/1000 | Towards Intelligent LiDAR with Adaptive Focus
[NO] 382/1000 | Experience Paper: Nationwide Human Behavior Sensing in Last-mile Delivery
[NO] 383/1000 | Decoy Databases: Analyzing Attacks on Public Facing Databases
[NO] 384/1000 | The SAP Cloud Infrastructure Dataset: A Reality Check of Scheduling and Placement of VMs in Cloud Computing
[NO] 385/1000 | Poster: The Internet Quality Barometer Framework
[NO] 386/1000 | MetroSea 2025 TOC
[NO] 387/1000 | IEEE Journal of Electromagnetics, RF, and Microwaves in Medicine and Biology About this Journal
[NO] 388/1000 | Representation and Resolution of Singularity Problems in Magnetic Map Simultaneous Surveying and Reconstruction
[NO] 389/1000 | Simulations of a Josephson Metamaterial Based on the S-F-S $\varphi _{0}$ Josephson Junction
[NO] 390/1000 | BiFingerPose: Bimodal Finger Pose Estimation for Touch Devices
[NO] 391/1000 | Design of Cascaded Parametric Mixers for Tunable Bandpass Filtering – Theory and Implementation in L-Band
[NO] 392/1000 | Cultivating Innovation in a Research Lab
[NO] 393/1000 | FAS Enabled UAV for Energy-Efficient WPCNs
[NO] 394/1000 | An Incipient Fault Location Scheme Utilizing Synchronous Waveform Measurements in Distribution Systems
[NO] 395/1000 | Adaptive Weighted Federated Domain Adaptation Methods for Nonintrusive Load Monitoring_supp1-3627893.pdf
[NO] 396/1000 | Analyzing Renewable Integration and Market Design: Distributional and Dynamic Perspectives in Electricity Markets
[NO] 397/1000 | Can LLMs Bridge Domain and Visualization? A Case Study on High-Dimension Data Visualization in Single-Cell Transcriptomics
[NO] 398/1000 | NLI4VolVis: Natural Language Interaction for Volume Visualization via LLM Multi-Agents and Editable 3D Gaussian Splatting
[NO] 399/1000 | A Near-Field Gain-Phase and Position Errors Calibration Method for Acoustic Arrays
[NO] 400/1000 | Influence and Optimization of Control Surface Slots on Aerodynamic Characteristics of Low-Speed Laminar-Flow Airfoils
[NO] 401/1000 | Strategic Bandwidth Pricing and Allocation in a 5G/6G Network Slicing Stackelberg Game
