[2026-08-27 00:19:32] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-08-26
正在获取论文...
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[NO] 205/1000 | Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access
[NO] 206/1000 | Throughput Maximization for MapReduce-Based Collaborative Computing over Energy-Harvesting Wireless Devices
[NO] 207/1000 | Exogenous Prior Injection for Reliable Feature Selection on Multimodal ASD Data
[NO] 208/1000 | Pluto: Fast and Accurate Persistent Flow Detection in High-Speed Networks via Adaptive Protection
[NO] 209/1000 | From GPU Servers to Raspberry Pi: Benchmarking Open-Source Speech-to-Text for Edge Deployment
[YES] 210/1000 | DECODE: Decision Tree Capturing Opaque Decisions via Coverage-Driven Synthetic Sampling
[NO] 211/1000 | AcrPLMEvo: A Two-Stage Framework Integrating Evolutionary Profiles with Protein Language Models for Anti-CRISPR Prediction
[NO] 212/1000 | RAD-SFL: Resource-Aware Dynamic Split Federated Learning for Heterogeneous Edge Environments with Non-IID Data
[NO] 213/1000 | Gate-Efficient Online Incremental Scheduling of No-Wait Time-Triggered Flows in TSN
[NO] 214/1000 | Compact Microwave Sensor Based on a Toroidal Dipole Resonator for Lossy Liquid Characterization
[NO] 215/1000 | MAPPO-Based Joint Task Offloading and Resource Allocation in 6G Vehicular Edge Computing under High- and Low-Frequency Cooperation
[NO] 216/1000 | Evolving the Prototype Journey: Lifelong Vision-and-Language Navigation with Prototype Adaptation
[NO] 217/1000 | Dual-Track Red Teaming and Evaluation for Traditional Chinese Localized LLMs
[NO] 218/1000 | Agentic AI for Personalized Physiotherapy: A Multi-Agent Framework for Generative Video Training and Real-Time Pose Correction
[NO] 219/1000 | ALPS: ACK-induced Latency-based Packet Spraying for Multipath Transmission
[NO] 220/1000 | Multi-Agent Framework for Neural Signal Decoding in Brain-Computer Interfaces (BCI)
[NO] 221/1000 | Message From Rong N. Chang, Steering Committee Chair
[NO] 222/1000 | Waltz: Temperature-Aware Cooperative Compression for High-Performance Compression-Based CSDs
[NO] 223/1000 | Sunny and Rainy Weather Recognition Based on Transfer Learning
[NO] 224/1000 | Slicing or Spoofing? Detecting and Containing Resource Hijacking in B5G Networks with Suspicious Traffic
[NO] 225/1000 | Evaluating the Efficacy and Diversity of DNN Test Input Prioritisation Techniques
[NO] 226/1000 | Computation Offloading Optimization in Cloud-Assisted Edge Computing Based on an Improved-IGEA Intelligent Optimization Method
[NO] 227/1000 | Dual-Rate Carrier Ambiguity Resolution for LFM-BPSK Radar-Communication Waveforms
[NO] 228/1000 | IoTScal-2CoM-ALO: An Adaptive Load Orchestration Framework for Scalable Collaborative IoT Systems
[NO] 229/1000 | Bridging the Interpretation Gap in Accessibility Testing: Empathetic and Legal-Aware Bug Report Generation via Large Language Models
[NO] 230/1000 | NeuroForensics: Unmasking Covert Backdoor Attack via Endogenous Defense
[NO] 231/1000 | Data Poisoning Detection for Secure Federated Learning with Dropout-Resilient Aggregation
[NO] 232/1000 | Pseudo-Label Guided Alignment Propagation for Partially View-Aligned Clustering
[NO] 233/1000 | Title Page i
[NO] 234/1000 | Author Index
[NO] 235/1000 | Fuzzy-Logic-Based QoS Control in oneM2M: Adaptive Edge-to-Cloud Traffic Offloading
[NO] 236/1000 | BEP: A Bayesian-Entropy Pruning Framework for Efficient IPv6 Active Network Discovery
[NO] 237/1000 | RGB: Resource Graph Base for Integrating Tri-Elements in Computing Power Networks
[NO] 238/1000 | Resilient Optimal Control Against Switching Hybrid Attacks: An Improved Hybrid Iteration Scheme
[NO] 239/1000 | Velo-NC: Verified Worst-Case End-to-End Queueing-Delay Bounds Under Network Dynamics
[NO] 240/1000 | Vertical GaN Schottky Barrier Diode Based on Anode-First Process and Low-Temperature Ohmic Contact
[NO] 241/1000 | Unsupervised MVS based on hybrid distillation and gaussian splatting enhancement
[NO] 242/1000 | SAIC-CoSaMP Based Multiuser Acquisition for Coherent MC-DSSS Signals in LEO Uplink
[NO] 243/1000 | A Comprehensive Study of Deep Learning Distributed Library Bugs
[NO] 244/1000 | SAR Vehicle Detection with Complementary Spatial Enhancement and Transfer Learning
[NO] 245/1000 | IEEE CS Career Center
[NO] 246/1000 | Energy-Efficient RF Oscillation for Nanogenerator-Driven Real-Time Self-Powered Wireless Sensing_supp3-3727254.avi
[NO] 247/1000 | Energy-Efficient RF Oscillation for Nanogenerator-Driven Real-Time Self-Powered Wireless Sensing_supp1-3727254.pdf
[NO] 248/1000 | Research on Intelligent course recommendation model based on Knowledge Mapping
[NO] 249/1000 | Message from the DSEE 2026 Chairs
[NO] 250/1000 | SpectralVQ-SC: Semantic-First Scalable Digital Image Communication via Wavelet-Based Finite Quantization
[NO] 251/1000 | Cross-Guided Dual-View Pre-Training for Fracture-Healing Assessment on Orthogonal Radiographs
[NO] 252/1000 | Impact of Total Ionizing Dose on 128-Layer 3-D TLC NAND Flash Memory: Endurance, Read Disturb, and Data Retention
[NO] 253/1000 | DeGaborNet: Decoupled Gabor Network for Hyperspectral Image Classification
[NO] 254/1000 | PopCD: Test-Time Behavior Enhancement via Polarity-Prompt Contrastive Decoding
[NO] 255/1000 | Multi-Objective Robustness Enhancement of Higher-Order Networked Systems via Cost-Aware Hyperedge Addition
[NO] 256/1000 | Differential Flatness Based Modeling and Control of Cylindrical Microrobots under Rotating Magnetic Fields
[NO] 257/1000 | Direct Transfer Learning for Cross-Project Test Case Prioritization under Cold-Start Conditions
[NO] 258/1000 | Runtime-Adaptive Payload Compression with Analytical Energy Threshold for WiFi IoT Nodes
[NO] 259/1000 | CF-BAD: Coarse-to-Fine Granularity BGP Anomaly Detection for Prefix Hijacking
[NO] 260/1000 | Joint Optimization of MEC Offloading and Traffic Signal Control via Diffusion-based Hierarchical DRL
[NO] 261/1000 | A Network Fraud Behavior Identification Model for Smart Policing
[NO] 262/1000 | Title Page
[NO] 263/1000 | Multiport Analytical Pixel Electromagnetic Simulator (MAPES) for AI-Assisted Microwave Circuit and RFIC Design
[NO] 264/1000 | Front Matter
[NO] 265/1000 | Reliable State Flush on Spot Cloud VMs Conservative Frontiers for Stateful Cloud
[NO] 266/1000 | GCA-BULF: A Bottom-Up Framework for Short-Term Load Forecasting Using Grouped Critical Appliances
[NO] 267/1000 | MAS-CP: Multi-Agent Communication Prediction for Distributed Deep Neural Network Training
[NO] 268/1000 | Compensated Second-Order SMC for Networked 2-D Systems Under Resource-Aware Encoding-Decoding
[NO] 269/1000 | a-IGZO TFT Pixel Circuit with Double Gate Structure for Compensation of V
                    <sub>TH</sub>
                    Shift and SS-Induced Low-Gray Dispersion in AMOLED Displays
[NO] 270/1000 | Constraint-Aware Temporal Graph Policy for Beam Hopping Scheduling in LEO Satellite Communications
[NO] 271/1000 | The ADMM penalized Decoding with Anderson Acceleration
[NO] 272/1000 | SC-IOCI: Multiple Infrastructure LiDAR-based 3D Object Detection via Intermediate Output Compression and Integration in Split Computing
[NO] 273/1000 | Reliability-Aware Client Selection in Asynchronous and Heterogeneous Federated Learning
[NO] 274/1000 | MSGFN: Multi-Scale Gated Fusion Network for UWB NLOS/LOS Classifications
[NO] 275/1000 | Integrating Quantized Edge AI and LoRaWAN for Visual-Based Wildlife Detection in Connectivity-Limited Regions
[NO] 276/1000 | Design and Implementation of Low-Cost Non-Invasive Blood Pressure Measurement Device from Photoplethysmography with Signal Quality Assessment
[NO] 277/1000 | Vision-Based Actuated Traffic Signal Control: A Case Study of the General Luna and Mabini Intersection Using YOLO and SUMO Simulation
[NO] 278/1000 | MASTEST: A LLM-Based Multi-Agent System For Testing RESTful APIs
[NO] 279/1000 | LADS: Towards Low-Latency Atomicity Interval for Cross-shard Transactions via Dynamic Queue Scheduling
[NO] 280/1000 | SHIELD: Sensing-Enabled Health-Aware Infrastructure for Environmental Localized Defense
[NO] 281/1000 | WTAF-YOLO: Adaptive Weighted Feature Fusion Detector for UAV Maritime Ship Detection
[NO] 282/1000 | Event-Triggered Distributed Secondary Control for Multi-Bus DC Microgrids Under Setting-Time Privacy Preservation Mechanism
[NO] 283/1000 | NAST: In-Network Aggregation with Worker Selection for Accelerating Distributed Training
[NO] 284/1000 | A 6.55-to-7.55GHz Sub-Sampling PLL with 47.8fs RMS Jitter and –254.4dB FoM in 65nm CMOS
[NO] 285/1000 | A Sleep Monitoring Belt–Based Sleep Staging Method via EEG-Guided Label Transfer and Deep Learning
[NO] 286/1000 | Learnable Transient Energy and Cross-Correlation Attention-Based Mamba for Fault Phase Selection in IoT-Enabled Distribution Networks
[NO] 287/1000 | Enhancing Autonomous Vehicle Navigation in Complex Intersections Using Multi-View Proximal Policy Optimisation Algorithm
[NO] 288/1000 | Modulation-Adaptive and Data-Light Parameter Estimation for DAB Converters with Physics-Informed Neural Network
[NO] 289/1000 | Toward Communication-Sensing Integrated Cloud-Network Monitoring: Real-Time Vibration Event Recognition on Underground Optical Cables
[NO] 290/1000 | Stage-Dependent Active-Area Scaling of SiC DSRDs: Pulse Characteristics, Unified Interpretation, and Sizing Guideline
[NO] 291/1000 | Research on Multi party Cross domain Trusted Interaction Model and Security Collaboration Mechanism under Cloud Chain Symbiosis Architecture
[NO] 292/1000 | Hierarchical Feature Fusion and Cross-Scale Coding for Machine Vision Tasks in Internet of Things
[NO] 293/1000 | Annotation-Efficient Surgical Instance Segmentation via Semi-Supervised YOLO Frameworks on Laparoscopic Imagery
[NO] 294/1000 | Message from General Chairs of CISOSE 2026
[NO] 295/1000 | Later is More: Trading Tolerable Latency to Meet Stringent Jitter Requirement in Time-Sensitive Networking
[NO] 296/1000 | Temporal Predictive Joint Hybrid Beamforming Framework for Mitigating Channel Aging in High-Mobility MIMO-OFDM Systems
[NO] 297/1000 | Engagement Dynamics in Unstructured Digital Journaling: Insights from Eight Months of Multimodal Data in Early Outpatient Psychiatric Care
[NO] 298/1000 | Zero-Dynamics Attack With Adjustable Destructiveness and Stealthiness Against Automatic Voltage Regulators in Power System
[NO] 299/1000 | Multimodal Sensing, Aerial Communication and Edge Inference in Open RAN-empowered LEO Satellite-assisted Low-Altitude Networks
[NO] 300/1000 | LLM-Based Automatic Metamorphic Test Case Generation for LLM Fairness Testing
[NO] 301/1000 | Memory-Guided Student-Teacher Anomaly Detection for Vision-Based Defect Inspection of Satellite Structural Components
[NO] 302/1000 | Masthead
[NO] 303/1000 | IEEE Computer Society Call for Papers
[NO] 304/1000 | Intelligence Without Infrastructure: How Mobile AI Is Redefining Entrepreneurship in Africa
[NO] 305/1000 | IEEE Transactions on Professional Communication Information for Authors
[NO] 306/1000 | The MPEG Avatar Representation Format (ARF) an Interoperable Container and Animation Framework for Avatars
[NO] 307/1000 | Metasurface Router for Near-Field Multi-User Low-Interference Access Driven by Structured Wave
[NO] 308/1000 | Research on Weak Physiological Signal Detection and Heart Rate &amp; Blood Oxygen Calculation System Based on PPG
[NO] 309/1000 | FedCod: An Efficient Coded Communication Protocol for Cross-Silo Federated Learning
[NO] 310/1000 | Design and Formative Evaluation of a Gamified Circuit Fault Diagnosis Simulator for Undergraduate Electrical Engineering
[NO] 311/1000 | Performance Analysis and Design Guidelines of Single and Multi-PA Driving Architectures for 5.8 GHz RF-Based Wireless Power Transfer Systems
[NO] 312/1000 | Table of Contents
[NO] 313/1000 | A High-Precision Bandgap Reference Circuit with Chopper Modulation
[NO] 314/1000 | Research on Broadband Down-conversion Scheme Based on Interleaved Frequency Mixing
[NO] 315/1000 | Digital Skills and Computational Competency Requirements in Malaysia's Biotechnology Industry
[NO] 316/1000 | FedRIDA: Coordinated Participation and Update Control for Time-Efficient Federated Learning
[NO] 317/1000 | ICDH 2026: Organizers
[NO] 318/1000 | Towards Accurate and Lightweight Peripheral Neuroblastic Tumor Diagnosis via Contrastive Multi-scale Pathological Image Analysis
[NO] 319/1000 | Research on Dynamic Scheduling Strategy of Smart Classroom Teaching Resources Based on Industrial Network Optimization Algorithm
[NO] 320/1000 | Cultivating the Code: Community, Care, and the Clinic for Open Source Arts
[NO] 321/1000 | AI and Society: Navigating Policy, Ethics, and Innovation: Sheena Lovia Boateng and Richard Boateng: [Book Review]
[NO] 322/1000 | Nonlinear Constraint-Aware Pressure Difference Control in PEM Fuel Cells Using Reference Governor Approach
[NO] 323/1000 | OPAL: An Optimal Distributed Learning Framework via Mutual Validation Between Sites_supp1-3727323.pdf
[NO] 324/1000 | FPGA-Based Hardware Acceleration and SDR Platform Realization of OTFS Modulation
[NO] 325/1000 | Message from the PC Co-Chairs
[NO] 326/1000 | LiteViT-Polar: Lightweight Annular-Attention ViT for OAM-SK FSO Demodulation and Polar Decoding
[NO] 327/1000 | BGP-Shadow: Accelerating BGP Verification via Programmable Data Planes
[NO] 328/1000 | GuardMLLM: Overconfidence-Aware Dynamic Fusion for Early Outcome Prediction
[NO] 329/1000 | EdgeFaaS: A Function-based Framework for Edge Computing
[NO] 330/1000 | CTMamba: A Center-Targeted Mamba Network for Hyperspectral Image Classification_supp1-3726900.docx
[NO] 331/1000 | Engineering Trustworthy AI: The VERITAS Framework for Responsible AI Research
[NO] 332/1000 | A RAG-Total Data Framework for Bidirectional Empowerment in Generative AI and Smart Libraries
[NO] 333/1000 | Enhancing Medicaid Social Risk Identification: Comparing Linear and Non-Linear Machine Learning Models with Expert Heuristics
[NO] 334/1000 | A miniaturized nanocalorimetry salinity sensor based on rapid thermal response
[NO] 335/1000 | Fast Filter Synthesis and Placement for Programmable Photonics
[NO] 336/1000 | Design and Performance Evaluation of an Interior Permanent-Magnet Linear Actuator for High-Dynamic Robotic Joint Applications
[NO] 337/1000 | Lightweight IoT Node Offloading Framework for Real-Time Edge Analytics
[NO] 338/1000 | The Cost of Assistance: High Prosthetic Knee Torque Reduces Biological Joint Work but Induces Symmetry Trade-Offs in Knee Power and Center-of-Mass Velocity During Stair Ascent
[NO] 339/1000 | AutoQABench: A Three-Level UX Benchmark for Automated Evaluation of Open-Ended LLM Responses
[NO] 340/1000 | Bluetooth Low Energy Communication Security in Wearable IoT Devices: A Fitbit Sense 2 Case Study
[NO] 341/1000 | MSC-TGF: A Multi-Scale CNN-Transformer with Graph-Augmented Fusion for Imbalanced Network Intrusion Detection
[NO] 342/1000 | WiFi-based Human Pose Estimation via Intermediate Pose Synthesis and Part Grouping
[NO] 343/1000 | Concerted Flexibility and Other Shades of Hybrid Work. Is There a New Black?
[NO] 344/1000 | Microbenchmarking Cloud Cryptographic Workloads for Privacy-Preserving Healthcare Iot
[NO] 345/1000 | Square: Towards Sharing Internet-Scale GPU Clouds Fairly and Efficiently
[NO] 346/1000 | An Inter-GM Time Consistency Enhancement Method for Multi-Domain Time-Sensitive Networking
[NO] 347/1000 | Simulink Collage: A Novel and Creative Approach to Teaching Basic Simulink Concepts
[NO] 348/1000 | Facial Privacy-Preserving Human Pose Estimation via Camera Sensor Side-Channel_supp1-3727536.pdf
[NO] 349/1000 | Phase-Aware Memory Repartitioning for Extended-Context Edge LLM Inference
[NO] 350/1000 | When Confidence Fails: Overconfidence in LLMS Under Uncertainty and Missing Clinical Information
